nbatch	trainL	validL	elapsed	throughput
1	100.855	99.477	2.342	5.246
2	100.194	98.327	0.588	20.890
3	99.478	97.018	0.587	20.944
4	97.856	95.431	0.587	20.933
5	95.902	93.756	0.588	20.888
6	94.316	91.820	0.590	20.835
7	92.316	89.785	0.587	20.929
8	90.591	87.758	0.588	20.894
9	88.669	85.809	0.588	20.898
10	86.548	83.787	0.588	20.902
11	84.466	82.238	0.593	20.730
12	82.600	80.368	0.593	20.731
13	80.570	78.517	0.593	20.722
14	78.785	76.472	0.594	20.695
15	76.897	74.504	0.595	20.641
16	74.802	72.532	0.595	20.658
17	72.838	70.857	0.595	20.636
18	71.204	69.631	0.596	20.620
19	70.229	68.413	0.595	20.643
20	68.982	66.828	0.595	20.656
21	67.098	65.396	0.597	20.593
22	65.552	63.960	0.595	20.650
23	64.011	62.586	0.596	20.625
24	62.875	60.933	0.595	20.636
25	61.073	59.980	0.595	20.658
26	59.766	58.410	0.595	20.639
27	58.240	56.822	0.595	20.638
28	56.590	55.335	0.596	20.614
29	55.411	54.051	0.596	20.604
30	54.060	52.845	0.596	20.621
31	52.777	52.017	0.596	20.625
32	52.006	50.953	0.595	20.643
33	51.007	49.980	0.596	20.635
34	50.437	49.338	0.596	20.617
35	49.475	48.841	0.597	20.589
36	48.802	47.526	0.596	20.603
37	47.686	46.488	0.598	20.549
38	46.547	45.309	0.597	20.572
39	45.954	44.838	0.596	20.623
40	45.283	44.151	0.597	20.583
41	44.868	43.481	0.596	20.611
42	44.215	42.881	0.598	20.556
43	43.435	41.995	0.597	20.599
44	42.730	41.336	0.596	20.615
45	41.943	40.454	0.596	20.627
46	41.147	40.038	0.598	20.560
47	40.358	39.300	0.599	20.520
48	39.682	38.837	0.598	20.557
49	39.332	38.198	0.597	20.573
50	38.658	37.790	0.599	20.526
51	38.131	37.426	0.597	20.575
52	37.801	37.914	0.593	20.713
53	38.333	37.472	0.592	20.745
54	37.815	36.863	0.598	20.553
55	37.247	36.308	0.596	20.602
56	36.514	35.704	0.599	20.524
57	35.980	35.450	0.598	20.560
58	35.506	35.130	0.599	20.505
59	35.360	34.747	0.598	20.557
60	34.924	34.332	0.599	20.501
61	34.868	34.136	0.598	20.556
62	34.669	33.879	0.598	20.551
63	34.322	33.655	0.598	20.546
64	34.009	33.164	0.599	20.530
65	33.474	32.864	0.599	20.513
66	33.113	32.495	0.599	20.513
67	32.670	32.482	0.600	20.490
68	32.598	32.104	0.599	20.511
69	32.120	31.923	0.600	20.486
70	32.080	31.897	0.600	20.475
71	31.948	31.613	0.599	20.530
72	31.640	31.310	0.601	20.443
73	31.301	30.984	0.600	20.466
74	31.056	30.778	0.601	20.458
75	30.957	30.787	0.596	20.619
76	30.834	30.966	0.595	20.663
77	31.175	30.721	0.599	20.506
78	30.868	30.462	0.600	20.482
79	30.501	30.425	0.601	20.449
80	30.157	30.145	0.600	20.466
81	29.958	29.927	0.601	20.444
82	29.628	29.763	0.599	20.500
83	29.340	29.430	0.600	20.463
84	28.939	29.213	0.601	20.459
85	28.601	29.230	0.595	20.641
86	28.796	29.801	0.596	20.621
87	29.314	29.596	0.595	20.661
88	29.138	29.475	0.595	20.664
89	28.794	29.225	0.595	20.647
90	28.857	29.236	0.596	20.600
91	28.702	29.238	0.595	20.653
92	28.749	29.003	0.600	20.468
93	28.360	28.902	0.601	20.457
94	28.149	28.712	0.599	20.501
95	28.116	28.712	0.595	20.659
96	28.031	28.745	0.596	20.628
97	28.114	28.852	0.595	20.658
98	28.393	28.581	0.601	20.462
99	28.136	28.363	0.600	20.494
100	28.028	28.116	0.601	20.446
101	27.881	27.944	0.600	20.476
102	27.724	27.760	0.601	20.455
103	27.489	27.547	0.601	20.441
104	27.545	27.464	0.601	20.439
105	27.264	27.302	0.601	20.434
106	26.995	27.092	0.601	20.448
107	26.703	26.927	0.602	20.409
108	26.418	26.680	0.602	20.427
109	26.219	26.566	0.602	20.408
110	26.326	26.611	0.595	20.640
111	26.268	26.819	0.595	20.642
112	26.486	26.766	0.596	20.614
113	26.339	26.829	0.597	20.590
114	26.443	26.728	0.596	20.618
115	26.100	26.524	0.601	20.456
116	26.100	26.352	0.601	20.435
117	25.834	26.246	0.601	20.430
118	25.594	26.047	0.601	20.430
119	25.190	25.799	0.606	20.268
120	24.905	25.728	0.603	20.382
121	24.754	25.568	0.601	20.431
122	24.674	25.566	0.602	20.420
123	24.514	25.351	0.602	20.417
124	24.591	25.419	0.596	20.601
125	24.740	25.248	0.600	20.463
126	24.550	25.070	0.602	20.427
127	24.385	25.010	0.602	20.406
128	24.245	24.915	0.601	20.429
129	24.325	24.821	0.601	20.437
130	24.579	25.056	0.596	20.604
131	24.542	24.780	0.603	20.392
132	24.569	24.676	0.602	20.419
133	24.486	24.744	0.597	20.577
134	24.763	24.914	0.597	20.600
135	25.127	24.766	0.596	20.627
136	24.985	24.751	0.597	20.585
137	24.846	24.629	0.602	20.427
138	24.545	24.445	0.602	20.410
139	24.562	24.406	0.602	20.410
140	24.340	24.380	0.602	20.401
141	24.412	24.550	0.598	20.561
142	24.281	24.409	0.596	20.604
143	24.282	24.537	0.597	20.593
144	24.327	24.475	0.596	20.617
145	24.237	24.587	0.597	20.580
146	24.297	24.681	0.599	20.531
147	24.464	24.831	0.597	20.566
148	24.436	24.565	0.598	20.538
149	24.225	24.687	0.596	20.606
150	24.152	24.742	0.598	20.554
151	24.347	24.887	0.596	20.611
152	24.344	24.787	0.597	20.597
153	24.218	24.818	0.596	20.601
154	24.300	24.771	0.597	20.582
155	24.300	24.631	0.596	20.603
156	24.037	24.548	0.598	20.557
157	23.874	24.445	0.596	20.601
158	23.587	24.306	0.601	20.447
159	23.477	24.311	0.597	20.582
160	23.255	24.248	0.603	20.362
161	23.223	24.436	0.597	20.584
162	23.207	24.708	0.597	20.595
163	23.364	24.647	0.596	20.621
164	23.322	24.604	0.597	20.579
165	23.345	24.434	0.596	20.604
166	23.101	24.461	0.597	20.587
167	23.059	24.246	0.604	20.358
168	22.896	24.142	0.666	18.439
169	22.849	24.005	0.638	19.274
170	22.624	23.930	0.617	19.903
171	22.711	23.916	0.607	20.236
172	22.504	23.861	0.604	20.352
173	22.461	23.548	0.603	20.389
174	22.298	23.506	0.601	20.447
175	22.228	23.454	0.602	20.414
176	21.981	23.340	0.602	20.421
177	22.143	23.161	0.602	20.428
178	21.960	23.022	0.602	20.403
179	21.756	22.944	0.601	20.431
180	21.600	22.934	0.602	20.413
181	21.669	22.912	0.601	20.440
182	21.862	22.867	0.601	20.430
183	21.835	22.764	0.602	20.419
184	21.667	22.591	0.602	20.420
185	21.662	22.643	0.596	20.608
186	21.560	22.570	0.605	20.322
187	21.318	22.370	0.604	20.336
188	21.276	22.218	0.610	20.133
189	21.163	22.103	0.612	20.066
190	21.063	22.163	0.602	20.424
191	20.956	22.051	0.606	20.263
192	20.897	22.325	0.600	20.487
193	20.857	22.480	0.656	18.735
194	20.966	22.649	0.646	19.016
195	21.234	22.875	0.620	19.812
196	21.393	22.771	0.605	20.295
197	21.281	22.618	0.599	20.502
198	21.130	22.537	0.598	20.545
199	21.042	22.526	0.596	20.604
200	21.094	22.432	0.598	20.555
201	20.875	22.318	0.597	20.591
202	20.850	22.259	0.599	20.515
203	20.766	22.357	0.597	20.598
204	20.764	22.215	0.597	20.575
205	20.558	22.214	0.597	20.593
206	20.521	22.144	0.599	20.521
207	20.572	22.507	0.598	20.559
208	20.689	22.325	0.596	20.615
209	20.683	22.188	0.598	20.554
210	20.502	22.085	0.599	20.508
211	20.543	22.247	0.602	20.401
212	20.691	22.166	0.598	20.559
213	20.577	22.131	0.651	18.887
214	20.519	22.125	0.634	19.391
215	20.490	22.098	0.615	19.968
216	20.498	22.084	0.603	20.381
217	20.474	22.020	0.603	20.376
218	20.410	22.065	0.598	20.557
219	20.333	22.074	0.600	20.466
220	20.166	21.937	0.606	20.267
221	20.055	21.836	0.603	20.374
222	19.915	21.735	0.604	20.355
223	19.758	21.703	0.607	20.258
224	19.589	21.547	0.603	20.369
225	19.492	21.598	0.599	20.500
226	19.400	21.878	0.674	18.230
227	19.407	22.081	0.634	19.377
228	19.597	22.045	0.611	20.101
229	19.764	22.022	0.606	20.292
230	19.766	21.898	0.599	20.515
231	19.736	21.804	0.597	20.592
232	19.588	21.643	0.598	20.553
233	19.527	21.645	0.623	19.717
234	19.572	21.573	0.610	20.160
235	19.516	21.562	0.600	20.482
236	19.557	21.606	0.597	20.575
237	19.470	21.601	0.597	20.571
238	19.499	21.509	0.602	20.407
239	19.352	21.462	0.603	20.375
240	19.412	21.396	0.603	20.383
241	19.309	21.416	0.598	20.555
242	19.143	21.293	0.604	20.358
243	19.133	21.239	0.605	20.321
244	19.238	21.175	0.606	20.287
245	19.152	21.197	0.599	20.514
246	19.149	21.075	0.610	20.135
247	19.090	21.074	0.604	20.329
248	19.001	20.950	0.648	18.959
249	18.957	20.955	0.618	19.871
250	19.033	20.957	0.608	20.198
251	19.033	20.942	0.606	20.275
252	18.872	20.789	0.604	20.352
253	18.940	20.918	0.606	20.265
254	18.973	20.959	0.599	20.511
255	18.929	21.011	0.652	18.860
256	18.909	20.991	0.632	19.458
257	18.664	20.797	0.609	20.178
258	18.486	20.615	0.608	20.210
259	18.364	20.596	0.603	20.368
260	18.188	20.453	0.602	20.427
261	18.060	20.304	0.601	20.431
262	18.026	20.442	0.597	20.573
263	18.050	20.580	0.657	18.713
264	18.078	20.578	0.646	19.024
265	18.177	20.527	0.620	19.829
266	18.102	20.619	0.606	20.269
