nbatch	trainL	validL	elapsed	throughput
1	100.525	99.730	2.352	2.612
2	100.116	98.884	0.510	12.045
3	99.129	97.699	0.510	12.058
4	97.896	96.383	0.509	12.074
5	96.497	94.869	0.508	12.085
6	94.986	93.321	0.508	12.089
7	93.332	91.491	0.509	12.075
8	91.673	89.621	0.509	12.069
9	89.796	87.650	0.509	12.068
10	87.788	85.605	0.509	12.069
11	85.747	83.581	0.515	11.932
12	83.678	81.588	0.515	11.925
13	81.547	79.445	0.516	11.905
14	79.585	77.369	0.516	11.903
15	77.554	75.348	0.516	11.898
16	75.501	73.272	0.516	11.908
17	73.394	71.155	0.516	11.905
18	71.273	69.232	0.516	11.909
19	69.213	67.329	0.516	11.909
20	67.252	65.388	0.516	11.902
21	65.385	63.559	0.516	11.908
22	63.423	61.713	0.516	11.915
23	61.511	59.898	0.516	11.906
24	59.732	58.147	0.517	11.887
25	58.051	56.376	0.516	11.899
26	56.474	54.974	0.516	11.904
27	54.835	53.443	0.517	11.892
28	53.334	51.951	0.516	11.897
29	51.842	50.414	0.516	11.896
30	50.319	48.927	0.516	11.898
31	48.908	47.565	0.517	11.879
32	47.553	46.209	0.517	11.880
33	46.341	45.056	0.518	11.862
34	45.251	44.102	0.517	11.881
35	44.038	43.145	0.517	11.889
36	43.040	42.032	0.517	11.882
37	41.870	41.024	0.517	11.888
38	40.900	40.044	0.517	11.888
39	39.911	39.132	0.517	11.886
40	39.128	38.383	0.518	11.862
41	38.190	37.338	0.518	11.860
42	37.149	36.358	0.519	11.843
43	36.224	35.536	0.519	11.846
44	35.324	34.783	0.518	11.853
45	34.496	34.065	0.519	11.846
46	33.784	33.309	0.519	11.834
47	32.997	32.479	0.520	11.806
48	32.346	31.787	0.520	11.811
49	31.725	31.150	0.519	11.829
50	31.077	30.653	0.520	11.819
51	30.832	30.399	0.520	11.824
52	30.641	29.966	0.520	11.813
53	30.134	29.462	0.520	11.817
54	29.585	28.941	0.520	11.819
55	28.992	28.398	0.521	11.782
56	28.384	27.979	0.521	11.785
57	27.892	27.722	0.522	11.771
58	27.614	27.323	0.521	11.797
59	27.379	27.098	0.521	11.801
60	27.048	26.986	0.521	11.791
61	26.975	26.647	0.522	11.781
62	26.511	26.106	0.521	11.782
63	25.923	25.651	0.521	11.788
64	25.421	25.412	0.521	11.782
65	25.085	25.006	0.521	11.784
66	24.643	24.770	0.523	11.743
67	24.320	24.252	0.523	11.748
68	23.972	23.942	0.522	11.773
69	23.858	23.657	0.522	11.773
70	23.679	23.476	0.522	11.760
71	23.456	23.154	0.521	11.800
72	23.076	22.962	0.521	11.786
73	22.916	22.797	0.521	11.782
74	22.823	22.495	0.522	11.775
75	22.438	22.126	0.522	11.763
76	22.128	21.835	0.521	11.802
77	21.949	21.469	0.520	11.810
78	21.622	21.156	0.521	11.801
79	21.236	21.012	0.520	11.820
80	20.971	20.911	0.520	11.822
81	20.539	20.736	0.521	11.802
82	20.359	20.509	0.520	11.807
83	19.994	20.368	0.520	11.810
84	19.852	20.338	0.520	11.821
85	19.537	20.236	0.520	11.819
86	19.358	20.095	0.520	11.812
87	19.153	19.865	0.520	11.805
88	18.900	19.673	0.520	11.817
89	18.759	19.545	0.520	11.821
90	18.610	19.354	0.520	11.812
91	18.460	19.695	0.514	11.952
92	18.498	19.748	0.514	11.946
93	18.559	20.075	0.514	11.945
94	18.904	19.986	0.515	11.940
95	18.823	19.750	0.514	11.948
96	18.511	19.547	0.514	11.951
97	18.267	19.267	0.520	11.805
98	18.025	19.139	0.521	11.799
99	17.829	18.894	0.522	11.771
100	17.715	18.814	0.521	11.788
101	17.544	18.748	0.521	11.786
102	17.338	18.702	0.521	11.782
103	17.019	18.534	0.521	11.787
104	16.890	18.361	0.522	11.776
105	16.757	18.523	0.515	11.922
106	16.683	18.499	0.515	11.921
107	16.502	18.364	0.516	11.902
108	16.478	18.238	0.522	11.769
109	16.514	18.169	2.568	2.393
110	16.549	18.183	0.515	11.922
111	16.577	18.054	0.521	11.788
112	16.639	17.968	0.522	11.779
113	16.546	18.014	0.515	11.921
114	16.265	17.815	0.522	11.778
115	16.131	17.615	0.523	11.757
116	15.857	17.539	0.522	11.770
117	15.644	17.429	0.522	11.761
118	15.487	17.259	0.522	11.779
119	15.498	17.131	0.521	11.787
120	15.407	17.019	0.522	11.768
121	15.086	16.830	0.522	11.780
122	14.831	16.623	0.521	11.791
123	14.535	16.461	0.521	11.792
124	14.249	16.304	0.521	11.794
125	14.150	16.336	0.516	11.918
126	14.131	16.426	0.515	11.931
127	14.192	16.475	0.516	11.906
128	14.045	16.402	0.516	11.901
129	13.888	16.164	0.521	11.784
130	13.706	15.925	0.522	11.781
131	13.529	15.873	0.522	11.773
132	13.389	15.815	0.522	11.776
133	13.364	16.100	0.516	11.914
134	13.683	16.175	0.516	11.907
135	13.633	16.080	0.515	11.923
136	13.543	15.937	0.515	11.924
137	13.456	16.059	0.515	11.933
138	13.562	16.175	0.516	11.911
139	13.677	16.079	0.516	11.913
140	13.566	16.024	0.516	11.914
141	13.566	15.904	0.516	11.916
142	13.453	15.818	0.516	11.904
143	13.254	15.647	0.521	11.786
144	13.028	15.618	0.522	11.774
145	12.799	15.434	0.521	11.788
146	12.592	15.406	0.522	11.781
147	12.514	15.617	0.517	11.889
148	12.511	15.566	0.515	11.929
149	12.427	15.390	0.522	11.772
150	12.432	15.262	0.522	11.772
151	12.233	15.536	0.516	11.909
152	12.319	15.535	0.516	11.909
153	12.742	15.376	0.516	11.910
154	12.647	15.163	0.522	11.773
155	12.516	15.088	0.522	11.779
156	12.317	14.891	0.522	11.769
157	12.150	14.784	0.522	11.771
158	11.836	14.649	0.522	11.775
159	11.613	14.717	0.516	11.902
160	11.480	14.596	0.522	11.775
161	11.312	14.532	0.522	11.766
162	11.229	14.462	0.522	11.769
163	11.021	14.396	0.522	11.776
164	10.926	14.214	0.522	11.769
165	10.806	14.321	0.538	11.411
166	10.821	14.338	0.538	11.423
167	10.860	14.319	0.528	11.626
168	10.808	14.156	0.527	11.655
169	10.595	14.215	0.517	11.879
170	10.559	14.268	0.515	11.926
171	10.565	14.348	0.516	11.909
172	10.446	14.287	0.556	11.056
173	10.304	14.309	0.561	10.948
174	10.356	14.369	0.537	11.440
175	10.319	14.264	0.528	11.628
176	10.229	14.219	0.520	11.816
177	10.137	14.172	0.518	11.864
178	10.020	14.063	0.522	11.767
179	9.961	13.973	0.522	11.768
180	9.701	13.841	0.522	11.766
181	9.556	13.800	0.524	11.731
182	9.488	13.863	0.516	11.912
183	9.502	13.982	0.516	11.909
184	9.567	14.084	0.529	11.614
185	9.644	14.250	0.528	11.634
186	9.597	14.148	0.521	11.796
187	9.503	14.107	0.518	11.860
188	9.545	14.261	0.517	11.877
189	9.498	14.189	0.516	11.900
190	9.541	14.183	0.517	11.876
191	9.459	14.034	0.516	11.906
192	9.423	14.242	0.518	11.856
193	9.419	14.259	0.515	11.924
194	9.340	14.211	0.520	11.813
195	9.348	14.176	0.522	11.764
196	9.384	14.137	0.521	11.782
197	9.333	14.113	0.565	10.871
198	9.183	14.033	0.553	11.102
199	9.144	13.946	0.534	11.507
200	9.185	13.935	0.529	11.625
201	9.242	14.070	0.522	11.768
202	9.313	14.058	0.519	11.839
203	9.236	13.905	0.520	11.826
204	8.934	13.894	0.522	11.768
205	8.728	13.947	0.523	11.748
206	8.641	13.844	0.522	11.767
207	8.427	13.617	0.531	11.561
208	8.237	13.500	0.526	11.674
209	8.128	13.426	0.533	11.526
210	8.110	13.455	0.522	11.781
211	8.094	13.337	0.529	11.610
212	8.103	13.421	0.520	11.815
213	8.007	13.463	0.522	11.776
214	8.009	13.489	0.519	11.842
215	8.002	13.469	0.520	11.818
216	7.968	13.616	0.535	11.492
217	7.888	13.624	0.521	11.795
218	7.932	13.533	0.520	11.805
219	7.974	13.530	0.531	11.578
220	7.873	13.793	0.518	11.852
221	7.739	13.840	0.517	11.893
222	7.611	13.712	0.517	11.874
223	7.518	13.680	0.515	11.922
224	7.527	13.630	0.519	11.846
225	7.375	13.630	0.519	11.827
226	7.344	13.714	0.517	11.876
227	7.403	13.751	0.561	10.961
228	7.525	13.896	0.562	10.938
229	7.598	13.848	0.539	11.393
230	7.617	13.839	0.562	10.929
231	7.608	13.835	0.548	11.206
232	7.709	13.937	0.530	11.589
233	7.761	13.922	0.523	11.738
234	7.865	13.821	0.517	11.874
235	7.722	13.819	0.518	11.863
236	7.582	13.730	0.551	11.144
237	7.496	13.584	0.537	11.444
238	7.356	13.504	0.527	11.657
239	7.346	13.488	0.517	11.890
240	7.203	13.542	0.519	11.845
241	7.024	13.565	0.560	10.979
242	6.911	13.480	0.540	11.377
