nbatch	trainL	validL	elapsed	throughput
1	100.194	99.499	2.333	5.266
2	99.712	98.601	0.588	20.910
3	98.802	97.497	0.588	20.906
4	97.615	96.002	0.587	20.939
5	96.043	94.304	0.587	20.916
6	94.330	92.391	0.588	20.883
7	92.509	90.823	0.587	20.920
8	90.815	88.718	0.586	20.958
9	88.969	86.569	0.586	20.964
10	86.865	84.359	0.588	20.893
11	84.657	82.544	0.591	20.778
12	82.324	80.315	0.594	20.701
13	79.991	78.618	0.595	20.667
14	77.627	76.588	0.998	12.312
15	75.841	74.308	0.594	20.689
16	74.082	72.125	0.593	20.705
17	71.941	70.121	0.594	20.689
18	69.737	68.130	0.593	20.710
19	67.662	65.938	0.594	20.704
20	65.625	64.056	0.600	20.475
21	63.489	62.133	0.600	20.469
22	61.411	60.302	0.594	20.700
23	59.443	58.496	0.593	20.705
24	57.698	57.204	0.604	20.334
25	56.305	55.631	0.607	20.234
26	54.817	54.177	0.607	20.235
27	53.431	52.549	0.609	20.175
28	52.147	51.230	0.602	20.418
29	50.746	50.024	0.602	20.427
30	49.199	48.883	0.608	20.219
31	47.858	47.566	0.607	20.239
32	46.538	46.116	0.601	20.441
33	45.512	44.927	0.601	20.462
34	44.693	43.894	0.608	20.223
35	43.552	43.096	0.597	20.581
36	42.560	42.075	0.608	20.207
37	41.619	41.510	0.609	20.187
38	40.795	40.700	0.608	20.213
39	40.166	40.112	0.609	20.190
40	39.599	39.968	0.608	20.207
41	39.142	39.138	0.602	20.404
42	38.589	38.249	0.595	20.666
43	38.202	37.501	0.602	20.427
44	37.565	36.668	0.609	20.178
45	36.847	36.072	0.610	20.156
46	36.018	35.339	0.611	20.124
47	35.364	34.681	0.609	20.174
48	34.674	34.150	0.603	20.388
49	33.888	33.511	0.603	20.380
50	33.546	33.078	0.609	20.174
51	32.969	32.810	0.608	20.196
52	32.366	32.450	0.610	20.145
53	32.054	32.363	0.611	20.114
54	31.581	31.950	0.603	20.384
55	31.052	31.360	0.598	20.564
56	30.854	30.926	0.597	20.588
57	30.571	30.730	0.597	20.576
58	29.996	30.417	0.597	20.586
59	29.518	29.926	0.596	20.611
60	29.287	29.792	0.597	20.570
61	29.288	29.470	0.597	20.591
62	28.922	29.233	0.597	20.594
63	28.568	28.912	0.607	20.260
64	28.308	28.710	0.611	20.103
65	28.315	28.680	0.611	20.101
66	27.999	28.552	0.611	20.100
67	28.108	28.228	0.609	20.167
68	28.016	28.005	0.597	20.575
69	27.785	27.744	0.598	20.543
70	27.368	27.567	0.598	20.538
71	26.942	27.406	0.598	20.564
72	26.601	27.125	0.597	20.587
73	26.655	27.141	0.597	20.566
74	26.482	26.965	0.604	20.335
75	26.088	26.792	0.598	20.556
76	25.994	26.573	0.599	20.523
77	25.772	26.405	0.600	20.490
78	25.503	26.202	0.598	20.551
79	25.362	26.131	0.598	20.547
80	25.223	26.416	0.593	20.727
81	25.427	26.183	0.594	20.700
82	25.313	26.092	0.598	20.550
83	25.246	26.013	0.605	20.326
84	25.092	25.893	0.612	20.067
